Date,Away,Points,Home,Points
Oct. 27,Atlanta Hawks,94,Detroit Pistons,106
Oct. 27,Chicago Bulls,97,Cleveland Cavaliers,95
Oct. 27,Golden State Warriors,111,New Orleans Pelicans,95
Oct. 28,Boston Celtics,112,Philadelphia 76ers,95
Oct. 28,Brooklyn Nets,100,Chicago Bulls,115
Oct. 28,Detroit Pistons,92,Utah Jazz,87
Oct. 28,Houston Rockets,85,Denver Nuggets,105
Oct. 28,Los Angeles Lakers,111,Minnesota Timberwolves,112
Oct. 28,Memphis Grizzlies,76,Cleveland Cavaliers,106
Oct. 28,Miami Heat,104,Charlotte Hornets,94
Oct. 28,Milwaukee Bucks,97,New York Knicks,122
Oct. 28,Oklahoma City Thunder,112,San Antonio Spurs,106
Oct. 28,Orlando Magic,87,Washington Wizards,88
Oct. 28,Phoenix Suns,95,Dallas Mavericks,111
Oct. 28,Portland Trail Blazers,112,New Orleans Pelicans,94
Oct. 28,Sacramento Kings,104,Los Angeles Clippers,111
Oct. 28,Toronto Raptors,106,Indiana Pacers,99
Oct. 29,Indiana Pacers,103,Memphis Grizzlies,112
Oct. 29,Los Angeles Clippers,104,Dallas Mavericks,88
Oct. 29,New York Knicks,101,Atlanta Hawks,112
Oct. 30,Atlanta Hawks,97,Charlotte Hornets,94
Oct. 30,Boston Celtics,103,Toronto Raptors,113
Oct. 30,Cleveland Cavaliers,102,Miami Heat,92
Oct. 30,Denver Nuggets,78,Minnesota Timberwolves,95
Oct. 30,Detroit Pistons,98,Chicago Bulls,94
Oct. 30,Houston Rockets,92,Golden State Warriors,112
Oct. 30,Milwaukee Bucks,113,Washington Wizards,118
Oct. 30,Orlando Magic,136,Oklahoma City Thunder,139
Oct. 30,Philadelphia 76ers,71,Utah Jazz,99
Oct. 30,Phoenix Suns,110,Portland Trail Blazers,92
Oct. 30,Sacramento Kings,132,Los Angeles Lakers,114
Oct. 30,San Antonio Spurs,102,Brooklyn Nets,75
Oct. 31,Indiana Pacers,76,Utah Jazz,97
Oct. 31,Los Angeles Clippers,114,Sacramento Kings,109
Oct. 31,Memphis Grizzlies,101,Brooklyn Nets,91
Oct. 31,New Orleans Pelicans,120,Golden State Warriors,134
Oct. 31,Portland Trail Blazers,90,Phoenix Suns,101
Oct. 31,Washington Wizards,110,New York Knicks,117
Nov. 1,Boston Celtics,87,San Antonio Spurs,95
Nov. 1,Chicago Bulls,92,Orlando Magic,87
Nov. 1,Charlotte Hornets,92,Atlanta Hawks,94
Nov. 1,Los Angeles Lakers,93,Dallas Mavericks,103
Nov. 1,Miami Heat,109,Houston Rockets,89
Nov. 1,Oklahoma City Thunder,117,Denver Nuggets,93
Nov. 1,Toronto Raptors,106,Milwaukee Bucks,87
Nov. 2,Brooklyn Nets,96,Milwaukee Bucks,103
Nov. 2,Golden State Warriors,119,Memphis Grizzlies,69
Nov. 2,Houston Rockets,110,Oklahoma City Thunder,105
Nov. 2,Los Angeles Clippers,102,Phoenix Suns,96
Nov. 2,Minnesota Timberwolves,101,Portland Trail Blazers,106
Nov. 2,New York Knicks,84,San Antonio Spurs,94
Nov. 2,Philadelphia 76ers,100,Cleveland Cavaliers,107
Nov. 3,Charlotte Hornets,130,Chicago Bulls,105
Nov. 3,Dallas Mavericks,91,Toronto Raptors,102
Nov. 3,Detroit Pistons,82,Indiana Pacers,94
Nov. 3,Los Angeles Lakers,109,Denver Nuggets,120
Nov. 3,Miami Heat,92,Atlanta Hawks,98
Nov. 3,New Orleans Pelicans,94,Orlando Magic,103
Nov. 3,Sacramento Kings,89,Memphis Grizzlies,103
Nov. 4,Atlanta Hawks,101,Brooklyn Nets,87
Nov. 4,Cleveland Cavaliers,96,New York Knicks,86
Nov. 4,Golden State Warriors,112,Los Angeles Clippers,108
Nov. 4,Houston Rockets,119,Orlando Magic,114
Nov. 4,Indiana Pacers,100,Boston Celtics,98
Nov. 4,Milwaukee Bucks,91,Philadelphia 76ers,87
Nov. 4,Oklahoma City Thunder,98,Toronto Raptors,103
Nov. 4,Phoenix Suns,118,Sacramento Kings,97
Nov. 4,Utah Jazz,92,Portland Trail Blazers,108
Nov. 4,Washington Wizards,102,San Antonio Spurs,99
Nov. 5,Chicago Bulls,104,Oklahoma City Thunder,98
Nov. 5,Dallas Mavericks,94,Charlotte Hornets,108
Nov. 5,Denver Nuggets,84,Utah Jazz,96
Nov. 5,Minnesota Timberwolves,84,Miami Heat,96
Nov. 5,Portland Trail Blazers,115,Memphis Grizzlies,96
Nov. 6,Boston Celtics,118,Washington Wizards,98
Nov. 6,Brooklyn Nets,98,Los Angeles Lakers,104
Nov. 6,Cleveland Cavaliers,108,Philadelphia 76ers,102
Nov. 6,Golden State Warriors,119,Denver Nuggets,104
Nov. 6,Indiana Pacers,90,Miami Heat,87
Nov. 6,New Orleans Pelicans,115,Atlanta Hawks,121
Nov. 6,New York Knicks,92,Milwaukee Bucks,99
Nov. 6,Orlando Magic,92,Toronto Raptors,87
Nov. 6,Phoenix Suns,92,Detroit Pistons,100
Nov. 6,Sacramento Kings,110,Houston Rockets,116
Nov. 7,Atlanta Hawks,114,Washington Wizards,99
Nov. 7,Chicago Bulls,93,Minnesota Timberwolves,102
Nov. 7,Dallas Mavericks,107,New Orleans Pelicans,98
Nov. 7,Los Angeles Clippers,105,Houston Rockets,109
Nov. 7,Milwaukee Bucks,94,Brooklyn Nets,86
Nov. 7,Philadelphia 76ers,97,Orlando Magic,105
Nov. 7,Sacramento Kings,94,Golden State Warriors,103
Nov. 7,San Antonio Spurs,114,Charlotte Hornets,94
Nov. 7,Utah Jazz,89,Memphis Grizzlies,79
Nov. 8,Cleveland Cavaliers,101,Indiana Pacers,97
Nov. 8,Miami Heat,96,Toronto Raptors,76
Nov. 8,New York Knicks,99,Los Angeles Lakers,95
Nov. 8,Oklahoma City Thunder,124,Phoenix Suns,103
Nov. 8,Portland Trail Blazers,103,Detroit Pistons,120
Nov. 9,Atlanta Hawks,107,Minnesota Timberwolves,117
Nov. 9,Denver Nuggets,108,Portland Trail Blazers,104
Nov. 9,Golden State Warriors,109,Detroit Pistons,95
Nov. 9,Indiana Pacers,97,Orlando Magic,84
Nov. 9,Los Angeles Clippers,94,Memphis Grizzlies,92
Nov. 9,Philadelphia 76ers,88,Chicago Bulls,111
Nov. 9,Sacramento Kings,88,San Antonio Spurs,106
Nov. 10,Cleveland Cavaliers,118,Utah Jazz,114
Nov. 10,Miami Heat,101,Los Angeles Lakers,88
Nov. 10,Milwaukee Bucks,83,Boston Celtics,99
Nov. 10,Minnesota Timberwolves,95,Charlotte Hornets,104
Nov. 10,New Orleans Pelicans,120,Dallas Mavericks,105
Nov. 10,Toronto Raptors,109,New York Knicks,111
Nov. 10,Washington Wizards,101,Oklahoma City Thunder,125
Nov. 11,Atlanta Hawks,106,New Orleans Pelicans,98
Nov. 11,Boston Celtics,91,Indiana Pacers,102
Nov. 11,Charlotte Hornets,95,New York Knicks,93
Nov. 11,Dallas Mavericks,118,Los Angeles Clippers,108
Nov. 11,Denver Nuggets,103,Milwaukee Bucks,102
Nov. 11,Houston Rockets,98,Brooklyn Nets,106
Nov. 11,Memphis Grizzlies,84,Golden State Warriors,100
Nov. 11,Orlando Magic,101,Los Angeles Lakers,99
Nov. 11,Philadelphia 76ers,103,Toronto Raptors,119
Nov. 11,Portland Trail Blazers,101,San Antonio Spurs,113
Nov. 11,Sacramento Kings,101,Detroit Pistons,92
Nov. 12,Miami Heat,92,Utah Jazz,91
Nov. 12,Minnesota Timberwolves,116,Golden State Warriors,129
Nov. 12,Phoenix Suns,118,Los Angeles Clippers,104
Nov. 13,Boston Celtics,106,Atlanta Hawks,93
Nov. 13,Chicago Bulls,102,Charlotte Hornets,97
Nov. 13,Dallas Mavericks,90,Los Angeles Lakers,82
Nov. 13,Denver Nuggets,107,Houston Rockets,98
Nov. 13,Indiana Pacers,107,Minnesota Timberwolves,103
Nov. 13,Memphis Grizzlies,101,Portland Trail Blazers,100
Nov. 13,New York Knicks,84,Cleveland Cavaliers,90
Nov. 13,Oklahoma City Thunder,102,Philadelphia 76ers,85
Nov. 13,Orlando Magic,102,Utah Jazz,93
Nov. 13,Sacramento Kings,111,Brooklyn Nets,109
Nov. 13,Toronto Raptors,100,New Orleans Pelicans,81
Nov. 14,Golden State Warriors,107,Brooklyn Nets,99
Nov. 14,Houston Rockets,98,Dallas Mavericks,110
Nov. 14,Los Angeles Clippers,101,Detroit Pistons,96
Nov. 14,Milwaukee Bucks,108,Cleveland Cavaliers,105
Nov. 14,Phoenix Suns,105,Denver Nuggets,81
Nov. 14,San Antonio Spurs,92,Philadelphia 76ers,83
Nov. 14,Washington Wizards,108,Orlando Magic,99
Nov. 15,Atlanta Hawks,96,Utah Jazz,97
Nov. 15,Charlotte Hornets,106,Portland Trail Blazers,94
Nov. 15,Los Angeles Lakers,97,Detroit Pistons,85
Nov. 15,Minnesota Timberwolves,106,Memphis Grizzlies,114
Nov. 15,New York Knicks,95,New Orleans Pelicans,87
Nov. 15,Oklahoma City Thunder,85,Boston Celtics,100
Nov. 15,Sacramento Kings,107,Toronto Raptors,101
Nov. 16,Chicago Bulls,96,Indiana Pacers,95
Nov. 16,Houston Rockets,95,Boston Celtics,111
Nov. 16,Memphis Grizzlies,122,Oklahoma City Thunder,114
Nov. 16,Philadelphia 76ers,86,Dallas Mavericks,92
Nov. 16,Phoenix Suns,120,Los Angeles Lakers,101
Nov. 16,San Antonio Spurs,93,Portland Trail Blazers,80
Nov. 17,Brooklyn Nets,90,Atlanta Hawks,88
Nov. 17,Detroit Pistons,104,Cleveland Cavaliers,99
Nov. 17,Golden State Warriors,115,Toronto Raptors,110
