Date,HomeTeam,FTHG,AwayTeam,FTAG
30.07.16,Зенит,0,Локомотив,0
30.07.16,Анжи,0,ЦСКА,0
30.07.16,Ростов,1,Оренбург,0
31.07.16,Урал,2,Уфа,0
31.07.16,Спартак,4,Арсенал,0
31.07.16,Терек,1,Крылья Советов,0
01.08.16,Рубин,0,Амкар,0
01.08.16,Краснодар,3,Томь,0
06.08.16,Уфа,0,Зенит,0
06.08.16,Арсенал,1,Рубин,0
07.08.16,Оренбург,0,ЦСКА,1
07.08.16,Амкар,2,Анжи,0
07.08.16,Локомотив,2,Томь,2
07.08.16,Ростов,0,Урал,0
08.08.16,Спартак,1,Крылья Советов,0
08.08.16,Краснодар,4,Терек,0
12.08.16,Зенит,3,Ростов,2
13.08.16,Урал,0,ЦСКА,1
13.08.16,Крылья Советов,1,Краснодар,1
13.08.16,Рубин,1,Спартак,1
14.08.16,Томь,1,Уфа,0
14.08.16,Анжи,1,Арсенал,0
14.08.16,Терек,1,Локомотив,1
15.08.16,Оренбург,0,Амкар,0
19.08.16,Рубин,1,Анжи,2
20.08.16,Уфа,1,Терек,3
20.08.16,Зенит,1,ЦСКА,1
20.08.16,Ростов,3,Томь,0
21.08.16,Амкар,1,Урал,0
21.08.16,Спартак,2,Краснодар,0
21.08.16,Локомотив,0,Крылья Советов,0
22.08.16,Арсенал,0,Оренбург,0
26.08.16,Крылья Советов,0,Уфа,1
27.08.16,Оренбург,1,Рубин,1
27.08.16,Томь,0,ЦСКА,1
27.08.16,Зенит,3,Амкар,0
28.08.16,Урал,1,Арсенал,1
28.08.16,Терек,2,Ростов,1
28.08.16,Краснодар,1,Локомотив,2
28.08.16,Анжи,0,Спартак,2
09.09.16,Ростов,2,Крылья Советов,1
10.09.16,Амкар,1,Томь,0
10.09.16,Оренбург,0,Анжи,0
10.09.16,ЦСКА,3,Терек,0
11.09.16,Уфа,0,Краснодар,0
11.09.16,Спартак,1,Локомотив,0
11.09.16,Арсенал,0,Зенит,5
12.09.16,Рубин,3,Урал,1
16.09.16,Оренбург,1,Спартак,3
17.09.16,Томь,1,Арсенал,0
17.09.16,Урал,0,Анжи,1
17.09.16,Терек,1,Амкар,3
17.09.16,Локомотив,0,Уфа,1
18.09.16,Крылья Советов,1,ЦСКА,2
18.09.16,Краснодар,2,Ростов,1
19.09.16,Зенит,4,Рубин,1
24.09.16,ЦСКА,1,Краснодар,1
24.09.16,Ростов,1,Локомотив,0
25.09.16,Оренбург,0,Урал,1
25.09.16,Арсенал,0,Терек,0
25.09.16,Спартак,0,Уфа,1
25.09.16,Анжи,2,Зенит,2
26.09.16,Амкар,0,Крылья Советов,0
26.09.16,Рубин,2,Томь,1
01.10.16,Томь,1,Урал,1
01.10.16,Крылья Советов,2,Анжи,1
01.10.16,Локомотив,1,Арсенал,1
01.10.16,Терек,2,Оренбург,1
02.10.16,Уфа,1,Амкар,1
02.10.16,Зенит,4,Спартак,2
02.10.16,Краснодар,1,Рубин,0
02.10.16,Ростов,2,ЦСКА,0
14.10.16,ЦСКА,1,Уфа,0
15.10.16,Амкар,0,Локомотив,0
15.10.16,Рубин,3,Крылья Советов,0
15.10.16,Спартак,1,Ростов,0
16.10.16,Урал,0,Зенит,2
16.10.16,Оренбург,3,Томь,1
16.10.16,Арсенал,0,Краснодар,0
17.10.16,Анжи,0,Терек,0
21.10.16,Крылья Советов,1,Арсенал,1
22.10.16,Томь,0,Анжи,3
22.10.16,Уфа,0,Ростов,0
22.10.16,Урал,0,Спартак,1
22.10.16,Терек,3,Рубин,1
23.10.16,Локомотив,1,ЦСКА,0
