Driver,Team,Australia,Bahrain,China,Russia,Spain,Monaco,Canada,Europe,Austria,Great Britain,Hungary,Germany,Belgium,Italy,Singapore,Malaysia,Japan,USA,Mexico,Brazil,Abu Dhabi
Lewis Hamilton,Mercedes,18,15,6,18,,25,25,10,25,25,25,25,15,18,15,,15,25,25,25,25
Nico Rosberg,Mercedes,25,25,25,25,,6,10,25,12,15,18,12,25,25,25,15,25,18,18,18,18
Daniel Ricciardo,Red Bull,12,12,12,,12,18,6,6,10,12,15,18,18,10,18,25,8,15,15,4,10
Sebastian Vettel,Ferrari,15,,18,,15,12,18,18,,2,12,10,8,15,10,,12,12,10,10,15
Max Verstappen,Red Bull,1,8,4,,25,,12,4,18,18,10,15,,6,8,18,18,,12,15,12
Kimi Räikkönen,Ferrari,,18,10,15,18,,8,12,15,10,8,8,2,12,12,12,10,,8,,8
Sergio Pérez,Force India,,,,2,6,15,1,15,,8,,1,10,4,4,8,6,4,1,12,4
Valtteri Bottas,Williams,4,2,1,12,10,,15,8,2,,2,2,4,8,,10,1,,4,,
Nico Hülkenberg,Force India,6,,,,,8,4,2,,6,1,6,12,1,,4,4,,6,6,6
Fernando Alonso,McLaren,,,,8,,10,,,,,6,,6,,6,6,,10,,1,1
Felipe Massa,Williams,10,4,8,10,4,1,,1,,,,,1,2,,,2,6,2,,2
Carlos Sainz Jr.,Torro Rosso,2,,2,,8,4,2,,4,4,4,,,,,,,8,,8,
Romain Grosjean,Haas,8,10,,4,,,,,6,,,,,,,,,1,,,
Daniil Kvyat,Torro Rosso,,6,15,,1,,,,,1,,,,,2,,,,,,
Jenson Button,McLaren,,,,1,2,2,,,8,,,4,,,,2,,2,,,
Kevin Magnussen,Renault,,,,6,,,,,,,,,,,1,,,,,,
Felipe Nasr,Sauber,,,,,,,,,,,,,,,,,,,,2,
Jolyon Palmer,Renault,,,,,,,,,,,,,,,,1,,,,,
Pascal Wehrlein,Manor,,,,,,,,,1,,,,,,,,,,,,
Stoffel Vandoorne,McLaren,,1,,,,,,,,,,,,,,,,,,,
Esteban Gutiérrez,Haas,,,,,,,,,,,,,,,,,,,,,
Marcus Ericsson,Sauber,,,,,,,,,,,,,,,,,,,,,
Esteban Ocon,Manor,,,,,,,,,,,,,,,,,,,,,
Rio Haryanto,Manor,,,,,,,,,,,,,,,,,,,,,
