Date,HomeTeam,FTHG,AwayTeam,FTAG
20.07.2016, Арсенал-2,0, Зенит Пз,0
20.07.2016, Торпедо М,2, Чертаново,1
20.07.2016, Авангард К,2, Энергомаш,0
20.07.2016, Сатурн,1, Металлург Лп,1
20.07.2016, Орёл,1, Калуга,0
20.07.2016, Витязь,1, Рязань,0
28.07.2016, Торпедо М,2, Витязь,1
28.07.2016, Зенит Пз,0, Орёл,0
28.07.2016, Металлург Лп,2, Рязань,2
28.07.2016, Сатурн,1, Авангард К,1
28.07.2016, Энергомаш,1, Динамо Бр,0
29.07.2016, Калуга,2, Чертаново,0
04.08.2016, Арсенал-2,0, Энергомаш,6
04.08.2016, Чертаново,1, Зенит Пз,1
04.08.2016, Авангард К,1, Металлург Лп,0
04.08.2016, Динамо Бр,0, Сатурн,1
04.08.2016, Рязань,2, Торпедо М,1
04.08.2016, Витязь,1, Калуга,0
11.08.2016, Зенит Пз,0, Витязь,5
11.08.2016, Металлург Лп,0, Торпедо М,2
11.08.2016, Авангард К,1, Динамо Бр,0
11.08.2016, Сатурн,1, Арсенал-2,1
11.08.2016, Энергомаш,4, Орёл,0
12.08.2016, Калуга,1, Рязань,0
18.08.2016, Арсенал-2,1, Авангард К,2
18.08.2016, Орёл,1, Сатурн,0
18.08.2016, Чертаново,1, Энергомаш,4
18.08.2016, Торпедо М,1, Калуга,1
18.08.2016, Динамо Бр,1, Металлург Лп,0
18.08.2016, Рязань,2, Зенит Пз,0
25.08.2016, Авангард К,0, Орёл,0
25.08.2016, Динамо Бр,5, Арсенал-2,0
25.08.2016, Сатурн,1, Чертаново,2
28.08.2016, Металлург Лп,1, Калуга,0
28.08.2016, Зенит Пз,1, Торпедо М,1
28.08.2016, Энергомаш,2, Витязь,0
02.09.2016, Чертаново,0, Авангард К,1
02.09.2016, Арсенал-2,1, Металлург Лп,3
02.09.2016, Орёл,0, Динамо Бр,1
02.09.2016, Рязань,1, Энергомаш,3
02.09.2016, Витязь,2, Сатурн,1
03.09.2016, Калуга,2, Зенит Пз,2
09.09.2016, Арсенал-2,2, Орёл,2
10.09.2016, Энергомаш,0, Торпедо М,0
10.09.2016, Сатурн,1, Рязань,0
10.09.2016, Динамо Бр,0, Чертаново,2
10.09.2016, Металлург Лп,2, Зенит Пз,4
11.09.2016, Авангард К,3, Витязь,0
16.09.2016, Чертаново,0, Арсенал-2,1
17.09.2016, Калуга,1, Энергомаш,1
17.09.2016, Орёл,0, Металлург Лп,1
17.09.2016, Витязь,1, Динамо Бр,0
17.09.2016, Рязань,1, Авангард К,1
18.09.2016, Торпедо М,1, Сатурн,2
25.09.2016, Сатурн,1, Калуга,1
25.09.2016, Динамо Бр,0, Рязань,0
25.09.2016, Арсенал-2,1, Витязь,2
25.09.2016, Орёл,1, Чертаново,3
25.09.2016, Авангард К,0, Торпедо М,1
26.09.2016, Энергомаш,5, Зенит Пз,1
01.10.2016, Калуга,2, Авангард К,0
01.10.2016, Торпедо М,1, Динамо Бр,1
02.10.2016, Витязь,3, Орёл,2
02.10.2016, Зенит Пз,0, Сатурн,1
02.10.2016, Чертаново,1, Металлург Лп,2
02.10.2016, Рязань,2, Арсенал-2,1
09.10.2016, Арсенал-2,1, Торпедо М,2
09.10.2016, Чертаново,3, Витязь,3
09.10.2016, Динамо Бр,0, Калуга,0
09.10.2016, Орёл,1, Рязань,1
09.10.2016, Металлург Лп,0, Энергомаш,4
09.10.2016, Авангард К,1, Зенит Пз,0
15.10.2016, Калуга,1, Арсенал-2,0
16.10.2016, Торпедо М,1, Орёл,1
16.10.2016, Зенит Пз,1, Динамо Бр,3
16.10.2016, Металлург Лп,0, Витязь,0
16.10.2016, Рязань,2, Чертаново,2
16.10.2016, Энергомаш,0, Сатурн,1
23.10.2016, Чертаново,4, Калуга,0
23.10.2016, Динамо Бр,1, Энергомаш,0
23.10.2016, Авангард К,2, Сатурн,2
23.10.2016, Витязь,1, Торпедо М,3
23.10.2016, Орёл,3, Зенит Пз,1
23.10.2016, Рязань,1, Металлург Лп,1
29.10.2016, Калуга,2, Витязь,1
30.10.2016, Торпедо М,1, Рязань,1
30.10.2016, Металлург Лп,1, Авангард К,0
30.10.2016, Энергомаш,4, Арсенал-2,0
30.10.2016, Зенит Пз,3, Чертаново,0
30.10.2016, Сатурн,1, Динамо Бр,0
06.11.2016, Витязь,3, Зенит Пз,1
06.11.2016, Арсенал-2,1, Сатурн,3
06.11.2016, Динамо Бр,0, Авангард К,1
06.11.2016, Торпедо М,1, Металлург Лп,0
06.11.2016, Рязань,1, Калуга,2
06.11.2016, Орёл,1, Энергомаш,1
