Date,Home,Points,Away,Points
Tue Oct 27 2015,Atlanta Hawks,94,Detroit Pistons,106
Tue Oct 27 2015,Chicago Bulls,97,Cleveland Cavaliers,95
Tue Oct 27 2015,Golden State Warriors,111,New Orleans Pelicans,95
Wed Oct 28 2015,Boston Celtics,112,Philadelphia 76ers,95
Wed Oct 28 2015,Brooklyn Nets,100,Chicago Bulls,115
Wed Oct 28 2015,Detroit Pistons,92,Utah Jazz,87
Wed Oct 28 2015,Houston Rockets,85,Denver Nuggets,105
Wed Oct 28 2015,Los Angeles Lakers,111,Minnesota Timberwolves,112
Wed Oct 28 2015,Memphis Grizzlies,76,Cleveland Cavaliers,106
Wed Oct 28 2015,Miami Heat,104,Charlotte Hornets,94
Wed Oct 28 2015,Milwaukee Bucks,97,New York Knicks,122
Wed Oct 28 2015,Oklahoma City Thunder,112,San Antonio Spurs,106
Wed Oct 28 2015,Orlando Magic,87,Washington Wizards,88
Wed Oct 28 2015,Phoenix Suns,95,Dallas Mavericks,111
Wed Oct 28 2015,Portland Trail Blazers,112,New Orleans Pelicans,94
Wed Oct 28 2015,Sacramento Kings,104,Los Angeles Clippers,111
Wed Oct 28 2015,Toronto Raptors,106,Indiana Pacers,99
Thu Oct 29 2015,Indiana Pacers,103,Memphis Grizzlies,112
Thu Oct 29 2015,Los Angeles Clippers,104,Dallas Mavericks,88
Thu Oct 29 2015,New York Knicks,101,Atlanta Hawks,112
Fri Oct 30 2015,Atlanta Hawks,97,Charlotte Hornets,94
Fri Oct 30 2015,Boston Celtics,103,Toronto Raptors,113
Fri Oct 30 2015,Cleveland Cavaliers,102,Miami Heat,92
Fri Oct 30 2015,Denver Nuggets,78,Minnesota Timberwolves,95
Fri Oct 30 2015,Detroit Pistons,98,Chicago Bulls,94
Fri Oct 30 2015,Houston Rockets,92,Golden State Warriors,112
Fri Oct 30 2015,Milwaukee Bucks,113,Washington Wizards,118
Fri Oct 30 2015,Orlando Magic,136,Oklahoma City Thunder,139
Fri Oct 30 2015,Philadelphia 76ers,71,Utah Jazz,99
Fri Oct 30 2015,Phoenix Suns,110,Portland Trail Blazers,92
Fri Oct 30 2015,Sacramento Kings,132,Los Angeles Lakers,114
Fri Oct 30 2015,San Antonio Spurs,102,Brooklyn Nets,75
